"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US530330009002","Block Group 2, Census Tract 9, King County, Washington","1018","170","null","null","731","138","null","null","42","57","null","null","6","9","null","null","156","98","null","null","0","13","null","null","46","null","36","null","37","26","null","null","18","21","null","null","19","14","null","null",
"1500000US530330010001","Block Group 1, Census Tract 10, King County, Washington","896","197","null","null","650","184","null","null","89","83","null","null","0","13","null","null","90","55","null","null","0","13","null","null","10","null","16","null","57","34","null","null","15","17","null","null","42","28","null","null",
"1500000US530330010002","Block Group 2, Census Tract 10, King County, Washington","1141","169","null","null","843","175","null","null","47","32","null","null","3","5","null","null","137","57","null","null","0","13","null","null","4","null","6","null","107","59","null","null","0","13","null","null","107","59","null","null",
"1500000US530330011001","Block Group 1, Census Tract 11, King County, Washington","1692","347","null","null","763","212","null","null","7","13","null","null","0","13","null","null","745","390","null","null","47","69","null","null","47","null","76","null","83","58","null","null","13","21","null","null","70","60","null","null",
"1500000US530330011002","Block Group 2, Census Tract 11, King County, Washington","1021","161","null","null","806","165","null","null","10","16","null","null","8","12","null","null","108","94","null","null","0","13","null","null","23","null","27","null","66","53","null","null","0","13","null","null","66","53","null","null",
"1500000US530330012011","Block Group 1, Census Tract 12.01, King County, Washington","1788","432","null","null","1341","395","null","null","145","139","null","null","7","12","null","null","280","191","null","null","0","13","null","null","0","null","13","null","15","25","null","null","0","13","null","null","15","25","null","null",
"1500000US530330012012","Block Group 2, Census Tract 12.01, King County, Washington","1570","440","null","null","951","343","null","null","226","240","null","null","0","13","null","null","282","172","null","null","0","13","null","null","0","null","13","null","111","89","null","null","0","13","null","null","111","89","null","null",
"1500000US530330012013","Block Group 3, Census Tract 12.01, King County, Washington","777","268","null","null","510","186","null","null","0","13","null","null","0","13","null","null","211","206","null","null","0","13","null","null","0","null","13","null","56","60","null","null","0","13","null","null","56","60","null","null",
"1500000US530330012021","Block Group 1, Census Tract 12.02, King County, Washington","951","255","null","null","809","233","null","null","14","26","null","null","0","13","null","null","42","38","null","null","0","13","null","null","0","null","13","null","86","83","null","null","0","13","null","null","86","83","null","null",
"1500000US530330012022","Block Group 2, Census Tract 12.02, King County, Washington","519","168","null","null","278","145","null","null","26","41","null","null","17","26","null","null","166","125","null","null","0","13","null","null","0","null","13","null","32","38","null","null","0","13","null","null","32","38","null","null",
"1500000US530330012023","Block Group 3, Census Tract 12.02, King County, Washington","1641","447","null","null","838","243","null","null","447","326","null","null","0","13","null","null","244","130","null","null","0","13","null","null","13","null","24","null","99","93","null","null","0","13","null","null","99","93","null","null",
